	dir chrom start end
Glyma13g35400 - Gm13 36822529 36828100
Glyma13g35410 - Gm13 36831102 36834156
Glyma13g35420 - Gm13 36837707 36838983
Glyma13g35430 - Gm13 36842005 36846145
Glyma13g35440 + Gm13 36848563 36856089
Glyma13g35450 + Gm13 36857403 36860326
Glyma13g35460 + Gm13 36865976 36871014
Glyma13g35470 - Gm13 36872478 36874792
Glyma13g35480 + Gm13 36895484 36897595
Glyma13g35490 + Gm13 36899496 36901804
Glyma13g35500 - Gm13 36902783 36908359
Glyma13g35510 - Gm13 36937699 36940027
Glyma13g35520 - Gm13 36943648 36950770
Glyma13g35530 + Gm13 36959171 36960411
Glyma13g35540 + Gm13 36973728 36976360
Glyma13g35550 + Gm13 36983095 36984754
Glyma13g35560 + Gm13 37006064 37008308
Glyma13g35570 + Gm13 37016089 37017347
Glyma13g35580 + Gm13 37022091 37024915
Glyma13g35590 - Gm13 37026634 37029522
Glyma13g35600 + Gm13 37031241 37031825
Glyma13g35610 - Gm13 37035172 37037867
Glyma13g35620 - Gm13 37041277 37044584
Glyma13g35630 + Gm13 37048205 37050570
Glyma13g35640 + Gm13 37054627 37060590
Glyma13g35650 + Gm13 37062858 37063329
Glyma13g35660 + Gm13 37063330 37063939
Glyma13g35670 - Gm13 37068700 37070202
Glyma13g35680 + Gm13 37088285 37088594
Glyma13g35690 + Gm13 37093622 37094815
Glyma13g35700 + Gm13 37101475 37102479
Glyma13g35710 - Gm13 37103240 37104815
Glyma13g35720 + Gm13 37107682 37109231
Glyma13g35730 - Gm13 37112333 37116555
Glyma13g35740 + Gm13 37122597 37127406
Glyma13g35750 + Gm13 37135187 37136656
Glyma13g35760 - Gm13 37135919 37136219
Glyma13g35770 - Gm13 37142257 37144967
Glyma13g35780 - Gm13 37148312 37150772
Glyma13g35790 + Gm13 37165103 37175879
Glyma13g35800 - Gm13 37178503 37180446
Glyma13g35810 - Gm13 37183553 37185684
Glyma13g35820 + Gm13 37199047 37199572
Glyma13g35830 + Gm13 37207480 37210655
Glyma13g35840 - Gm13 37211364 37211691
Glyma13g35850 - Gm13 37216388 37216888
Glyma13g35860 + Gm13 37221889 37223771
Glyma13g35870 + Gm13 37225069 37232642
Glyma13g35880 + Gm13 37233199 37233748
Glyma13g35890 - Gm13 37269879 37270749
Glyma13g35900 + Gm13 37279650 37280041
Glyma13g35910 + Gm13 37283546 37286414
Glyma13g35920 + Gm13 37290127 37307489
Glyma13g35930 - Gm13 37312023 37316784
Glyma13g35940 - Gm13 37320999 37322490
Glyma13g35950 + Gm13 37323929 37324632
Glyma13g35960 + Gm13 37325886 37329648
Glyma13g35970 - Gm13 37330865 37332245
Glyma13g35980 - Gm13 37344007 37344378
Glyma13g35990 + Gm13 37348097 37351767
Glyma13g36000 + Gm13 37357962 37362532
Glyma13g36010 - Gm13 37368148 37371519
Glyma13g36020 + Gm13 37383657 37384856
Glyma13g36030 + Gm13 37394740 37398385
Glyma13g36040 + Gm13 37417061 37417461
Glyma13g36050 + Gm13 37422909 37424965
Glyma13g36060 - Gm13 37425822 37428125
Glyma13g36070 - Gm13 37429131 37433491
Glyma13g36080 - Gm13 37438306 37438501
Glyma13g36090 - Gm13 37440395 37442615
Glyma13g36100 - Gm13 37445016 37445269
Glyma13g36110 + Gm13 37450074 37452834
Glyma13g36120 - Gm13 37453219 37456452
Glyma13g36130 + Gm13 37468693 37468854
Glyma13g36140 + Gm13 37474787 37479500
Glyma13g36150 + Gm13 37480197 37483276
Glyma13g36160 + Gm13 37487373 37488407
Glyma13g36170 - Gm13 37490608 37492634
Glyma13g36180 + Gm13 37502861 37503481
Glyma13g36190 + Gm13 37506829 37507791
Glyma13g36200 - Gm13 37509267 37512531
Glyma13g36210 + Gm13 37511604 37511931
Glyma13g36220 + Gm13 37517109 37518581
Glyma13g36230 + Gm13 37525436 37531740
Glyma13g36240 - Gm13 37532632 37534006
Glyma13g36250 + Gm13 37536476 37538143
Glyma13g36260 + Gm13 37541875 37544477
Glyma13g36270 + Gm13 37544773 37545859
Glyma13g36280 - Gm13 37546018 37549525
Glyma13g36290 - Gm13 37556412 37563024
Glyma13g36300 + Gm13 37579342 37587689
Glyma13g36310 - Gm13 37588487 37593217
Glyma13g36320 + Gm13 37597200 37597972
Glyma13g36330 - Gm13 37606746 37608958
Glyma13g36340 - Gm13 37609434 37610393
Glyma13g36350 + Gm13 37618009 37619204
Glyma13g36360 - Gm13 37620583 37624717
Glyma13g36370 + Gm13 37641700 37642424
Glyma13g36380 + Gm13 37654551 37654830
Glyma13g36390 - Gm13 37657838 37660648
Glyma13g36400 - Gm13 37700338 37701208
Glyma13g36410 + Gm13 37702229 37706779
Glyma13g36420 - Gm13 37707976 37710584
Glyma13g36430 - Gm13 37712735 37720510
Glyma13g36440 + Gm13 37723808 37725194
Glyma13g36450 - Gm13 37725712 37733463
Glyma13g36460 + Gm13 37747014 37748190
Glyma13g36470 + Gm13 37751252 37753508
Glyma13g36480 + Gm13 37759613 37761023
Glyma13g36490 - Gm13 37762303 37763688
Glyma13g36500 - Gm13 37767926 37769465
Glyma13g36510 + Gm13 37767926 37769558
Glyma13g36520 - Gm13 37773180 37774707
Glyma13g36530 + Gm13 37777425 37782451
Glyma13g36540 - Gm13 37784670 37787467
Glyma13g36550 + Gm13 37797167 37797849
Glyma13g36560 - Gm13 37799464 37806316
Glyma13g36570 - Gm13 37807272 37810333
Glyma13g36580 + Gm13 37811664 37812107
Glyma13g36590 - Gm13 37819994 37821068
Glyma13g36600 - Gm13 37824663 37829177
Glyma13g36610 + Gm13 37833281 37843239
Glyma13g36620 + Gm13 37851512 37852239
Glyma13g36630 - Gm13 37859071 37860826
Glyma13g36640 + Gm13 37871665 37886846
Glyma13g36650 + Gm13 37890399 37891528
Glyma13g36660 - Gm13 37904338 37904866
Glyma13g36670 + Gm13 37928486 37935574
Glyma13g36680 + Gm13 37936460 37937347
Glyma13g36690 + Gm13 37943326 37946655
Glyma13g36700 + Gm13 37951797 37954965
Glyma13g36710 + Gm13 37955986 37956392
Glyma13g36720 - Gm13 37959313 37961905
Glyma13g36730 - Gm13 37972787 37976604
Glyma13g36740 + Gm13 37984723 37987304
Glyma13g36750 + Gm13 37988816 37992548
Glyma13g36760 + Gm13 37993394 37997622
Glyma13g36770 + Gm13 38006845 38011151
Glyma13g36780 + Gm13 38012912 38015992
Glyma13g36790 - Gm13 38016550 38018405
Glyma13g36800 - Gm13 38022690 38023388
Glyma13g36810 - Gm13 38025890 38028621
Glyma13g36820 - Gm13 38029238 38033681
Glyma13g36830 - Gm13 38037913 38038698
Glyma13g36840 + Gm13 38069424 38072356
Glyma13g36850 + Gm13 38080135 38080782
Glyma13g36860 - Gm13 38085150 38085788
Glyma13g36870 - Gm13 38100096 38103421
Glyma13g36880 + Gm13 38111771 38112476
Glyma13g36890 - Gm13 38113350 38114159
Glyma13g36900 + Gm13 38120112 38122570
Glyma13g36910 + Gm13 38128905 38131347
Glyma13g36920 - Gm13 38132111 38134352
Glyma13g36930 + Gm13 38141200 38142314
Glyma13g36940 + Gm13 38143903 38147232
Glyma13g36950 + Gm13 38153792 38154580
Glyma13g36960 + Gm13 38165969 38169156
Glyma13g36970 + Gm13 38172051 38174301
Glyma13g36980 - Gm13 38175304 38177187
Glyma13g36990 - Gm13 38183539 38187100
Glyma13g37000 - Gm13 38200903 38201806
Glyma13g37010 + Gm13 38209751 38213645
Glyma13g37020 + Gm13 38220418 38221184
Glyma13g37030 - Gm13 38223894 38227640
Glyma13g37040 + Gm13 38228939 38231638
Glyma13g37050 - Gm13 38232299 38233987
Glyma13g37060 + Gm13 38239712 38240115
Glyma13g37070 - Gm13 38242877 38245406
Glyma13g37080 - Gm13 38251310 38256390
Glyma13g37090 + Gm13 38260651 38274449
Glyma13g37110 - Gm13 38277676 38288258
Glyma13g37120 - Gm13 38296176 38298581
Glyma13g37130 - Gm13 38307906 38309485
Glyma13g37140 + Gm13 38311697 38314718
Glyma13g37150 - Gm13 38316269 38324566
Glyma13g37160 + Gm13 38332020 38333168
Glyma13g37170 + Gm13 38333702 38334701
Glyma13g37180 + Gm13 38338151 38340527
Glyma13g37190 - Gm13 38341538 38343485
Glyma13g37200 - Gm13 38351100 38352857
Glyma13g37210 + Gm13 38363693 38365686
Glyma13g37220 + Gm13 38366904 38368917
Glyma13g37230 - Gm13 38369591 38374786
Glyma13g37240 + Gm13 38381194 38381955
Glyma13g37250 + Gm13 38391278 38394870
Glyma13g37260 - Gm13 38394828 38396085
Glyma13g37270 - Gm13 38397832 38398464
Glyma13g37280 - Gm13 38399445 38416073
Glyma13g37290 - Gm13 38423453 38428479
Glyma13g37300 - Gm13 38429526 38433216
Glyma13g37310 + Gm13 38444870 38445517
Glyma13g37320 + Gm13 38446518 38447463
Glyma13g37330 - Gm13 38453010 38454150
Glyma13g37340 - Gm13 38454739 38462701
Glyma13g37350 + Gm13 38466397 38468718
Glyma13g37360 - Gm13 38473086 38474692
Glyma13g37370 - Gm13 38477713 38478243
Glyma13g37380 - Gm13 38480029 38482539
Glyma13g37390 + Gm13 38493965 38496082
Glyma13g37400 + Gm13 38496552 38497886
Glyma13g37410 - Gm13 38498964 38500846
Glyma13g37420 + Gm13 38503686 38506898
Glyma13g37430 - Gm13 38507504 38509479
Glyma13g37440 - Gm13 38510474 38512770
Glyma13g37450 - Gm13 38525608 38526991
Glyma13g37460 - Gm13 38538790 38541082
Glyma13g37470 - Gm13 38546030 38546547
Glyma13g37480 - Gm13 38547374 38547884
Glyma13g37490 + Gm13 38551846 38552070
Glyma13g37500 - Gm13 38558661 38561756
Glyma13g37510 - Gm13 38573421 38574226
Glyma13g37520 + Gm13 38582638 38586056
Glyma13g37530 + Gm13 38589452 38590272
Glyma13g37540 - Gm13 38593507 38599360
Glyma13g37550 - Gm13 38602953 38607644
Glyma13g37560 - Gm13 38619603 38620629
Glyma13g37570 - Gm13 38628341 38632109
Glyma13g37580 + Gm13 38638107 38644148
Glyma13g37590 + Gm13 38648350 38650701
Glyma13g37600 - Gm13 38654343 38656408
Glyma13g37610 + Gm13 38657399 38659733
Glyma13g37620 + Gm13 38663061 38663689
Glyma13g37630 - Gm13 38667217 38669639
Glyma13g37640 - Gm13 38672515 38674457
Glyma13g37650 - Gm13 38675975 38679457
Glyma13g37660 - Gm13 38682162 38683823
Glyma13g37670 + Gm13 38686506 38687483
Glyma13g37680 - Gm13 38688813 38691530
Glyma13g37690 + Gm13 38694695 38706233
Glyma13g37700 - Gm13 38707375 38707656
Glyma13g37710 - Gm13 38712218 38716054
Glyma13g37720 - Gm13 38718011 38718579
Glyma13g37730 - Gm13 38724907 38725179
Glyma13g37740 - Gm13 38726203 38726750
Glyma13g37750 - Gm13 38728070 38728895
Glyma13g37760 - Gm13 38731286 38731558
Glyma13g37770 - Gm13 38733724 38734327
Glyma13g37780 - Gm13 38737000 38737890
Glyma13g37790 + Gm13 38747228 38750991
Glyma13g37800 - Gm13 38752002 38757052
Glyma13g37810 + Gm13 38761752 38763460
Glyma13g37820 - Gm13 38770379 38771649
Glyma13g37830 - Gm13 38780082 38781689
Glyma13g37840 - Gm13 38784416 38785632
Glyma13g37850 + Gm13 38789170 38790765
Glyma13g37860 + Gm13 38796620 38796832
Glyma13g37870 - Gm13 38798315 38802788
Glyma13g37880 - Gm13 38804777 38807800
Glyma13g37890 + Gm13 38819247 38821585
Glyma13g37900 - Gm13 38830532 38832334
Glyma13g37910 - Gm13 38838144 38838752
Glyma13g37920 - Gm13 38840060 38840599
Glyma13g37930 + Gm13 38871357 38873720
Glyma13g37940 - Gm13 38875302 38877424
Glyma13g37950 - Gm13 38879739 38881792
Glyma13g37960 + Gm13 38885956 38890151
Glyma13g37970 - Gm13 38902608 38904116
Glyma13g37980 - Gm13 38910754 38915862
Glyma13g37990 + Gm13 38922939 38923697
Glyma13g38000 + Gm13 38936892 38940866
Glyma13g38010 - Gm13 38941957 38943252
Glyma13g38020 - Gm13 38946576 38947045
Glyma13g38030 - Gm13 38952177 38953900
Glyma13g38040 - Gm13 38956803 38959121
Glyma13g38050 - Gm13 38963383 38966304
Glyma13g38060 + Gm13 38977023 38978320
Glyma13g38070 + Gm13 38982119 38983794
Glyma13g38080 - Gm13 38987494 38988773
Glyma13g38090 + Gm13 38997548 39011196
Glyma13g38100 + Gm13 39019337 39020255
Glyma13g38110 - Gm13 39023457 39027115
Glyma13g38120 - Gm13 39028667 39031024
Glyma13g38130 + Gm13 39034248 39034958
Glyma13g38140 + Gm13 39039571 39041972
Glyma13g38150 - Gm13 39042347 39043679
Glyma13g38160 - Gm13 39044936 39046074
Glyma13g38170 - Gm13 39049894 39050765
Glyma13g38180 + Gm13 39053549 39053771
Glyma13g38190 - Gm13 39053761 39054422
Glyma13g38200 - Gm13 39056897 39058832
Glyma13g38210 - Gm13 39061667 39061947
Glyma13g38220 - Gm13 39062643 39064553
Glyma13g38230 - Gm13 39067531 39069427
Glyma13g38240 + Gm13 39076466 39077340
Glyma13g38250 - Gm13 39078051 39082180
Glyma13g38260 + Gm13 39088957 39098803
Glyma13g38270 + Gm13 39097383 39097808
Glyma13g38280 + Gm13 39099889 39104288
Glyma13g38290 + Gm13 39105539 39111025
Glyma13g38300 - Gm13 39111783 39114056
Glyma13g38310 - Gm13 39118588 39120674
Glyma13g38320 + Gm13 39129351 39130440
Glyma13g38330 - Gm13 39131407 39134466
Glyma13g38340 + Gm13 39137393 39138769
Glyma13g38350 + Gm13 39139395 39140309
Glyma13g38360 + Gm13 39140546 39141373
Glyma13g38370 - Gm13 39141615 39148804
Glyma13g38380 + Gm13 39154422 39154946
Glyma13g38390 + Gm13 39157398 39157922
Glyma13g38400 + Gm13 39160830 39161390
Glyma13g38410 - Gm13 39169403 39170377
Glyma13g38420 - Gm13 39172741 39175103
Glyma13g38430 + Gm13 39210395 39217400
Glyma13g38440 + Gm13 39218757 39220573
Glyma13g38450 - Gm13 39223614 39228525
Glyma13g38460 - Gm13 39234357 39240075
Glyma13g38470 + Gm13 39246793 39247621
Glyma13g38480 - Gm13 39248416 39255891
Glyma13g38490 + Gm13 39260551 39261117
Glyma13g38500 + Gm13 39278182 39283021
Glyma13g38510 + Gm13 39294384 39297811
Glyma13g38520 - Gm13 39305117 39307697
Glyma13g38530 + Gm13 39331851 39333657
Glyma13g38540 + Gm13 39335337 39336237
Glyma13g38550 + Gm13 39336846 39337394
Glyma13g38560 + Gm13 39342971 39346111
Glyma13g38570 + Gm13 39349010 39351065
Glyma13g38580 + Gm13 39354063 39361326
Glyma13g38590 + Gm13 39362331 39363990
Glyma13g38600 - Gm13 39365957 39367643
Glyma13g38610 - Gm13 39373783 39377614
Glyma13g38620 - Gm13 39380014 39380774
Glyma13g38630 - Gm13 39385564 39388414
Glyma13g38640 - Gm13 39397633 39401766
Glyma13g38650 + Gm13 39403344 39407344
Glyma13g38660 + Gm13 39411543 39413792
Glyma13g38670 - Gm13 39416654 39419064
Glyma13g38680 - Gm13 39420587 39423639
Glyma13g38690 - Gm13 39424408 39429257
Glyma13g38700 + Gm13 39433961 39444335
Glyma13g38710 + Gm13 39446114 39446884
Glyma13g38720 + Gm13 39450262 39454260
Glyma13g38730 + Gm13 39461253 39464640
Glyma13g38740 - Gm13 39465716 39468921
Glyma13g38750 + Gm13 39483030 39491754
Glyma13g38760 - Gm13 39497906 39503571
Glyma13g38770 - Gm13 39504895 39507774
Glyma13g38780 - Gm13 39513143 39515299
Glyma13g38790 - Gm13 39516250 39518701
Glyma13g38800 + Gm13 39522066 39528467
Glyma13g38810 + Gm13 39529263 39531990
Glyma13g38820 - Gm13 39538690 39542465
Glyma13g38830 + Gm13 39542856 39550252
Glyma13g38840 + Gm13 39552076 39556481
Glyma13g38850 + Gm13 39566019 39577966
Glyma13g38860 - Gm13 39578097 39583397
Glyma13g38870 - Gm13 39586610 39588497
Glyma13g38880 + Gm13 39603128 39604561
Glyma13g38890 + Gm13 39609697 39611400
Glyma13g38900 - Gm13 39618529 39620012
Glyma13g38910 - Gm13 39624304 39629273
Glyma13g38920 + Gm13 39668844 39668940
Glyma13g38930 + Gm13 39669096 39675104
Glyma13g38940 + Gm13 39678097 39679761
Glyma13g38950 + Gm13 39680452 39683452
Glyma13g38960 + Gm13 39684774 39686099
Glyma13g38970 - Gm13 39686487 39687394
Glyma13g38980 + Gm13 39702976 39709717
Glyma13g38990 + Gm13 39712168 39713269
Glyma13g39000 - Gm13 39714671 39715518
Glyma13g39010 + Gm13 39724046 39725188
Glyma13g39020 + Gm13 39740924 39741470
Glyma13g39030 + Gm13 39754237 39755044
Glyma13g39040 - Gm13 39758233 39759175
Glyma13g39050 + Gm13 39770670 39772813
Glyma13g39060 + Gm13 39785868 39786072
Glyma13g39070 - Gm13 39798866 39799806
Glyma13g39080 - Gm13 39808299 39812014
Glyma13g39090 - Gm13 39813346 39817035
Glyma13g39100 - Gm13 39818966 39820229
Glyma13g39110 - Gm13 39825896 39829849
Glyma13g39120 - Gm13 39839204 39844935
Glyma13g39130 - Gm13 39848935 39850326
Glyma13g39140 - Gm13 39850898 39855715
Glyma13g39150 - Gm13 39856958 39858666
Glyma13g39160 - Gm13 39862853 39865157
Glyma13g39170 - Gm13 39868352 39869991
Glyma13g39180 - Gm13 39873372 39877149
Glyma13g39190 - Gm13 39880458 39881029
Glyma13g39200 + Gm13 39884607 39885077
Glyma13g39210 + Gm13 39887894 39891676
Glyma13g39220 - Gm13 39895045 39896130
Glyma13g39230 - Gm13 39898269 39901954
Glyma13g39240 + Gm13 39909083 39911602
Glyma13g39250 - Gm13 39915811 39916647
Glyma13g39260 - Gm13 39914213 39919103
Glyma13g39270 - Gm13 39931396 39933511
Glyma13g39280 - Gm13 39935569 39936277
Glyma13g39290 - Gm13 39940828 39943339
Glyma13g39300 + Gm13 39951133 39954600
Glyma13g39310 + Gm13 39955541 39956365
Glyma13g39320 + Gm13 39960646 39962461
Glyma13g39330 + Gm13 39963555 39967907
Glyma13g39340 - Gm13 39970008 39971448
Glyma13g39350 - Gm13 39977438 39977754
Glyma13g39360 + Gm13 39981417 39982422
Glyma13g39370 + Gm13 39994699 39998095
Glyma13g39380 + Gm13 40010080 40010331
Glyma13g39390 - Gm13 40011095 40011428
Glyma13g39400 + Gm13 40012760 40012853
Glyma13g39410 + Gm13 40022794 40027172
Glyma13g39420 - Gm13 40029238 40031713
Glyma13g39430 + Gm13 40033564 40040934
Glyma13g39440 + Gm13 40048196 40055107
Glyma13g39450 + Gm13 40057446 40063239
Glyma13g39460 - Gm13 40063427 40068297
Glyma13g39470 + Gm13 40076068 40080384
Glyma13g39480 + Gm13 40080794 40085143
Glyma13g39490 + Gm13 40086509 40088015
Glyma13g39500 - Gm13 40090324 40096203
Glyma13g39510 - Gm13 40098658 40102137
Glyma13g39520 + Gm13 40101027 40102267
Glyma13g39530 + Gm13 40106569 40106796
Glyma13g39540 + Gm13 40114057 40114640
Glyma13g39550 + Gm13 40117136 40117540
Glyma13g39560 - Gm13 40122831 40127626
Glyma13g39570 + Gm13 40138275 40145046
Glyma13g39580 + Gm13 40148545 40152050
Glyma13g39590 - Gm13 40152055 40152838
Glyma13g39600 + Gm13 40156841 40161327
Glyma13g39610 - Gm13 40164971 40165988
Glyma13g39620 - Gm13 40173446 40174665
Glyma13g39630 + Gm13 40190088 40196165
Glyma13g39640 + Gm13 40195152 40196966
Glyma13g39650 - Gm13 40197598 40199210
Glyma13g39660 + Gm13 40202768 40206590
Glyma13g39670 + Gm13 40207337 40207963
Glyma13g39680 - Gm13 40208204 40212573
Glyma13g39690 - Gm13 40222140 40223323
Glyma13g39700 + Gm13 40242970 40244691
Glyma13g39710 - Gm13 40248977 40251137
Glyma13g39720 + Gm13 40253805 40254168
Glyma13g39730 + Gm13 40264529 40268462
Glyma13g39740 - Gm13 40267707 40268966
Glyma13g39750 - Gm13 40269577 40272642
Glyma13g39760 + Gm13 40286538 40288159
Glyma13g39770 + Gm13 40295403 40300841
Glyma13g39780 + Gm13 40316883 40317320
Glyma13g39790 + Gm13 40329507 40333572
Glyma13g39800 - Gm13 40337384 40337818
Glyma13g39810 - Gm13 40346873 40353314
Glyma13g39820 - Gm13 40354378 40360672
Glyma13g39830 + Gm13 40364382 40369953
Glyma13g39840 - Gm13 40371606 40372013
Glyma13g39850 - Gm13 40380819 40383427
Glyma13g39860 - Gm13 40400966 40402594
Glyma13g39870 - Gm13 40409714 40410024
Glyma13g39880 - Gm13 40427885 40429144
Glyma13g39890 + Gm13 40434166 40435064
Glyma13g39900 + Gm13 40448096 40454213
Glyma13g39910 - Gm13 40455969 40457599
Glyma13g39920 - Gm13 40462990 40465241
Glyma13g39930 + Gm13 40488837 40492577
Glyma13g39950 + Gm13 40511057 40513057
Glyma13g39960 + Gm13 40517223 40519699
Glyma13g39970 - Gm13 40527961 40528433
Glyma13g39980 + Gm13 40533253 40537581
Glyma13g39990 + Gm13 40540369 40546947
Glyma13g40000 + Gm13 40549727 40553387
Glyma13g40010 + Gm13 40563180 40570504
Glyma13g40020 + Gm13 40579088 40583361
Glyma13g40030 + Gm13 40591515 40594198
Glyma13g40050 - Gm13 40610975 40619741
Glyma13g40060 - Gm13 40625444 40626081
Glyma13g40070 - Gm13 40629782 40632902
Glyma13g40080 - Gm13 40645833 40650407
Glyma13g40090 - Gm13 40654026 40654927
Glyma13g40100 + Gm13 40664607 40666361
Glyma13g40110 + Gm13 40671554 40672180
Glyma13g40120 + Gm13 40675069 40680224
Glyma13g40130 + Gm13 40681809 40686147
Glyma13g40140 - Gm13 40692912 40698973
Glyma13g40150 - Gm13 40701410 40705859
Glyma13g40160 + Gm13 40709182 40710319
Glyma13g40170 - Gm13 40713620 40715643
Glyma13g40180 - Gm13 40718840 40721098
Glyma13g40190 - Gm13 40733473 40740355
Glyma13g40200 - Gm13 40742497 40749178
Glyma13g40210 + Gm13 40757800 40758920
Glyma13g40220 + Gm13 40762891 40763839
Glyma13g40230 + Gm13 40765967 40767275
Glyma13g40240 - Gm13 40769427 40771571
Glyma13g40250 + Gm13 40782031 40783610
Glyma13g40260 - Gm13 40785544 40787234
Glyma13g40270 - Gm13 40788674 40789361
Glyma13g40280 - Gm13 40789842 40790719
Glyma13g40290 - Gm13 40792745 40794570
Glyma13g40300 - Gm13 40795146 40801802
Glyma13g40310 + Gm13 40818921 40825121
Glyma13g40320 - Gm13 40828232 40834074
Glyma13g40330 - Gm13 40835418 40836821
Glyma13g40340 - Gm13 40841204 40842059
Glyma13g40350 - Gm13 40852483 40855002
Glyma13g40360 - Gm13 40856942 40859117
Glyma13g40370 - Gm13 40869903 40871555
Glyma13g40380 - Gm13 40877347 40882297
Glyma13g40390 - Gm13 40886319 40889376
Glyma13g40400 + Gm13 40900197 40901869
Glyma13g40410 + Gm13 40906552 40909129
Glyma13g40420 - Gm13 40913383 40915244
Glyma13g40430 + Gm13 40927272 40942878
Glyma13g40440 + Gm13 40945738 40949094
Glyma13g40450 - Gm13 40955467 40958622
Glyma13g40460 + Gm13 40966137 40974964
Glyma13g40470 - Gm13 40982953 40987313
Glyma13g40480 - Gm13 41008521 41008898
Glyma13g40490 + Gm13 41012048 41012275
Glyma13g40500 + Gm13 41014266 41014715
Glyma13g40510 + Gm13 41017099 41021634
Glyma13g40520 - Gm13 41022475 41026582
Glyma13g40530 + Gm13 41041362 41044813
Glyma13g40540 - Gm13 41048751 41050732
Glyma13g40550 + Gm13 41056253 41069463
Glyma13g40560 + Gm13 41073758 41079163
Glyma13g40570 + Gm13 41081876 41082135
Glyma13g40580 - Gm13 41082127 41088842
Glyma13g40590 + Gm13 41098471 41100035
Glyma13g40600 - Gm13 41101288 41102371
Glyma13g40610 + Gm13 41121101 41123356
Glyma13g40620 + Gm13 41129620 41130198
Glyma13g40630 + Gm13 41135309 41136877
Glyma13g40640 - Gm13 41141001 41143647
Glyma13g40650 + Gm13 41153160 41158849
Glyma13g40660 - Gm13 41159609 41161575
Glyma13g40670 - Gm13 41179861 41181282
Glyma13g40680 - Gm13 41194439 41196024
Glyma13g40690 - Gm13 41202885 41204330
Glyma13g40700 - Gm13 41209200 41210961
Glyma13g40710 + Gm13 41214121 41215084
Glyma13g40720 + Gm13 41218418 41218540
Glyma13g40730 - Gm13 41219277 41220440
Glyma13g40740 + Gm13 41225812 41234521
Glyma13g40750 - Gm13 41235143 41237656
Glyma13g40760 - Gm13 41238313 41243654
Glyma13g40770 + Gm13 41245483 41247705
Glyma13g40780 + Gm13 41248179 41249716
Glyma13g40790 - Gm13 41251247 41251535
Glyma13g40800 - Gm13 41252428 41253418
Glyma13g40810 + Gm13 41265069 41267249
Glyma13g40820 + Gm13 41270585 41271998
Glyma13g40830 - Gm13 41273374 41275059
Glyma13g40850 - Gm13 41299697 41302582
Glyma13g40860 + Gm13 41313666 41314265
Glyma13g40870 - Gm13 41316477 41320091
Glyma13g40880 + Gm13 41327041 41329629
Glyma13g40890 - Gm13 41332262 41333000
Glyma13g40900 - Gm13 41338044 41339095
Glyma13g40910 + Gm13 41343476 41343787
Glyma13g40920 + Gm13 41345428 41345999
Glyma13g40930 + Gm13 41357581 41361884
Glyma13g40940 + Gm13 41367944 41368753
Glyma13g40950 - Gm13 41371201 41374244
Glyma13g40960 - Gm13 41375308 41380043
Glyma13g40970 - Gm13 41381725 41385523
Glyma13g40980 - Gm13 41394433 41399116
Glyma13g40990 - Gm13 41400764 41406148
Glyma13g41000 + Gm13 41409414 41410496
Glyma13g41010 - Gm13 41411953 41415885
Glyma13g41020 + Gm13 41419271 41421102
Glyma13g41030 + Gm13 41429228 41430836
Glyma13g41040 + Gm13 41443200 41446497
Glyma13g41050 - Gm13 41466697 41467637
Glyma13g41060 + Gm13 41477218 41479022
Glyma13g41070 + Gm13 41481619 41485958
Glyma13g41080 - Gm13 41486281 41488151
Glyma13g41090 + Gm13 41493727 41496823
Glyma13g41100 + Gm13 41498293 41499462
Glyma13g41110 - Gm13 41505970 41508482
Glyma13g41120 + Gm13 41517990 41520592
Glyma13g41130 + Gm13 41530524 41533453
Glyma13g41140 - Gm13 41537852 41538218
Glyma13g41150 + Gm13 41546442 41549857
Glyma13g41160 - Gm13 41552335 41553510
Glyma13g41170 - Gm13 41561723 41564956
Glyma13g41180 + Gm13 41568747 41571571
Glyma13g41190 - Gm13 41570494 41570622
Glyma13g41200 + Gm13 41574172 41574714
Glyma13g41210 + Gm13 41579344 41584903
Glyma13g41220 + Gm13 41585750 41588024
Glyma13g41230 + Gm13 41589239 41591586
Glyma13g41240 + Gm13 41599569 41601624
Glyma13g41250 + Gm13 41604282 41605209
Glyma13g41260 + Gm13 41608625 41620359
Glyma13g41270 - Gm13 41621702 41624504
Glyma13g41280 + Gm13 41624766 41627551
Glyma13g41290 - Gm13 41628201 41630527
Glyma13g41300 + Gm13 41643629 41644067
Glyma13g41310 - Gm13 41647195 41648424
Glyma13g41320 - Gm13 41652407 41653688
Glyma13g41330 - Gm13 41655421 41657296
Glyma13g41340 - Gm13 41662639 41664134
Glyma13g41350 - Gm13 41668856 41669759
Glyma13g41360 + Gm13 41670477 41674053
Glyma13g41370 - Gm13 41675695 41679934
Glyma13g41380 + Gm13 41681395 41683287
Glyma13g41390 - Gm13 41687205 41692742
Glyma13g41400 - Gm13 41698924 41704108
Glyma13g41410 + Gm13 41705520 41707365
Glyma13g41420 - Gm13 41709180 41710605
Glyma13g41430 + Gm13 41713214 41717183
Glyma13g41440 + Gm13 41727856 41732322
Glyma13g41450 + Gm13 41733741 41737402
Glyma13g41460 - Gm13 41737540 41742840
Glyma13g41470 - Gm13 41752594 41755203
Glyma13g41480 + Gm13 41761891 41765571
Glyma13g41490 + Gm13 41770988 41778329
Glyma13g41500 - Gm13 41780749 41783465
Glyma13g41510 + Gm13 41783537 41785207
